Seed_num,epsilon,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,PE_maj,PE_min,PED,TE_maj,TE_min,TED,OA_maj,OA_min,OAD,PRP_maj,PRP_min,PRPD,CSP_B0_maj,CSP_B0_min,CSD_B0,CSP_B1_maj,CSP_B1_min,CSD_B1,Acc
0,16,1.0,0.6093160601840135,0.3906839398159865,1.0,0.7240732050680432,0.2759267949319568,1.0,0.4703337453646477,0.5296662546353523,0.0,0.7983489059483228,-0.7983489059483228,0.8592100486421737,0.6534945903117189,0.2057154583304548,0.8592100486421737,0.6836486715952471,0.17556137704692654,1.0,0.2260377823907183,0.7739622176092817,1.0,1.0,0.0,0.78145
1,16,1.0,0.6093260552054411,0.39067394479455886,1.0,0.7248803827751196,0.27511961722488043,1.0,0.4630086313193588,0.5369913686806411,0.0,0.7985655984332873,-0.7985655984332873,0.8592176095797873,0.6535223255601343,0.20569528401965298,0.8592176095797873,0.6837386234991778,0.17547898608060952,1.0,0.2260595928987183,0.7739404071012816,1.0,1.0,0.0,0.78145
2,16,1.0,0.6093296603474939,0.3906703396525061,1.0,0.7180312787488501,0.2819687212511499,1.0,0.4452510586811857,0.5547489413188142,0.0,0.7990894583349626,-0.7990894583349626,0.8592122733950793,0.6535678486820473,0.20564442471303201,0.8592122733950793,0.6838154287851352,0.1753968446099441,1.0,0.22609650463724149,0.7739034953627585,1.0,1.0,0.0,0.78145
3,16,1.0,0.6093875254738083,0.39061247452619174,1.0,0.7371532514779445,0.2628467485220555,1.0,0.4343497199751089,0.565650280024891,0.0,0.7988443335427228,-0.7988443335427228,0.8592094551792286,0.6535000376321295,0.20570941754709915,0.8592094551792286,0.6837116579619366,0.17549779721729208,1.0,0.22613525409896407,0.7738647459010359,1.0,1.0,0.0,0.7814500000000001
4,16,1.0,0.6093136662483447,0.3906863337516553,1.0,0.7344890510948905,0.2655109489051095,1.0,0.4602307225258045,0.5397692774741956,0.0,0.7986540216788325,-0.7986540216788325,0.8592142208905524,0.6535916315475225,0.2056225893430299,0.8592142208905524,0.6838278476994095,0.17538637319114292,1.0,0.2260437607574679,0.7739562392425321,1.0,1.0,0.0,0.7814499999999999
5,16,1.0,0.6093542548975973,0.3906457451024027,1.0,0.7389908256880734,0.2610091743119266,1.0,0.43935643564356436,0.5606435643564356,0.0,0.7991707566939991,-0.7991707566939991,0.8592036128682923,0.653537236879673,0.20566637598861925,0.8592036128682923,0.6837388597047447,0.1754647531635476,1.0,0.22621329072447396,0.7737867092755261,1.0,1.0,0.0,0.78145
6,16,1.0,0.60935956891784,0.39064043108215996,1.0,0.7323813910640258,0.2676186089359742,1.0,0.43871778755499685,0.5612822124450032,0.0,0.7982255527954167,-0.7982255527954167,0.8592073868077847,0.6535859004169363,0.20562148639084843,0.8592073868077847,0.6837229034743252,0.17548448333345956,1.0,0.22614729054413588,0.7738527094558642,1.0,1.0,0.0,0.78145
7,16,1.0,0.6093219290020501,0.39067807099794993,1.0,0.7288135593220338,0.27118644067796616,1.0,0.44017358958462494,0.5598264104153751,0.0,0.7981808272142064,-0.7981808272142064,0.8592077966920957,0.6536014384208193,0.20560635827127638,0.8592077966920957,0.68377396607206,0.1754338306200357,1.0,0.22606563085430392,0.7739343691456961,1.0,1.0,0.0,0.7814500000000001
8,16,1.0,0.6093507498762019,0.39064925012379814,1.0,0.7333650190114068,0.2666349809885932,1.0,0.437155119558553,0.562844880441447,0.0,0.797724834385279,-0.797724834385279,0.8592154816209436,0.6535648119018148,0.20565066971912882,0.8592154816209436,0.6837110418188357,0.17550443980210795,1.0,0.22606358877757202,0.773936411222428,1.0,1.0,0.0,0.7814500000000001
9,16,1.0,0.6092686733405677,0.39073132665943233,1.0,0.7333026255181944,0.26669737448180564,1.0,0.4538177339901478,0.5461822660098522,0.0,0.7985376022761157,-0.7985376022761157,0.8592035574649598,0.6535632673290934,0.20564029013586638,0.8592035574649598,0.6837653322361968,0.17543822522876296,1.0,0.2260660134529897,0.7739339865470103,1.0,1.0,0.0,0.78145
10,16,1.0,0.609318895545251,0.390681104454749,1.0,0.7387304507819688,0.26126954921803125,1.0,0.4472863381160324,0.5527136618839676,0.0,0.7999565350798362,-0.7999565350798362,0.8592102639852888,0.6535758570115633,0.20563440697372548,0.8592102639852888,0.6838757048051807,0.1753345591801081,1.0,0.2261883870451033,0.7738116129548966,1.0,1.0,0.0,0.7814499999999999
11,16,1.0,0.6093262917678541,0.39067370823214587,1.0,0.7169117647058824,0.28308823529411764,1.0,0.45869297163995065,0.5413070283600494,0.0,0.798015488759751,-0.798015488759751,0.85920846656482,0.6535383327829907,0.2056701337818293,0.85920846656482,0.6837028579509752,0.1755056086138448,1.0,0.2260464544731417,0.7739535455268582,1.0,1.0,0.0,0.78145
12,16,1.0,0.6093662012866687,0.39063379871333126,1.0,0.7206140350877193,0.27938596491228074,1.0,0.4433497536945813,0.5566502463054187,0.0,0.7982986022988194,-0.7982986022988194,0.8592095780005689,0.6535758267169538,0.20563375128361505,0.8592095780005689,0.6837473166035626,0.17546226139700627,1.0,0.22617791831189113,0.7738220816881088,1.0,1.0,0.0,0.78145
13,16,1.0,0.6093698585294647,0.3906301414705353,1.0,0.7292716445258818,0.2707283554741182,1.0,0.44492574257425743,0.5550742574257426,0.0,0.7980530115603867,-0.7980530115603867,0.8592150311788173,0.6535564136670392,0.20565861751177805,0.8592150311788173,0.6837455114004547,0.17546951977836256,1.0,0.22612948497618984,0.7738705150238101,1.0,1.0,0.0,0.78145
14,16,1.0,0.6093333893132149,0.3906666106867851,1.0,0.7241537053979872,0.2758462946020128,1.0,0.43723208818126147,0.5627679118187385,0.0,0.7981617253948085,-0.7981617253948085,0.8592156115092008,0.6535604032771613,0.20565520823203953,0.8592156115092008,0.683755523232908,0.17546008827629278,1.0,0.22615246517341642,0.7738475348265836,1.0,1.0,0.0,0.78145
15,16,1.0,0.6093165887473948,0.3906834112526052,1.0,0.7321763602251408,0.26782363977485923,1.0,0.43902439024390244,0.5609756097560976,0.0,0.7988530914947864,-0.7988530914947864,0.8592192844774956,0.653591983949522,0.20562730052797362,0.8592192844774956,0.6838249479036129,0.1753943365738827,1.0,0.2260433363381073,0.7739566636618926,1.0,1.0,0.0,0.7814500000000001
16,16,1.0,0.6093229148018117,0.39067708519818833,1.0,0.723975506358926,0.27602449364107395,1.0,0.44560540872771975,0.5543945912722803,0.0,0.7983883058524286,-0.7983883058524286,0.8592028960432755,0.653571689709229,0.20563120633404652,0.8592028960432755,0.6837573478301248,0.17544554821315073,1.0,0.2260332391633685,0.7739667608366315,1.0,1.0,0.0,0.78145
17,16,1.0,0.6093274012540568,0.3906725987459432,1.0,0.734223859972363,0.26577614002763705,1.0,0.4277708592777086,0.5722291407222915,0.0,0.7982460751961451,-0.7982460751961451,0.8592147593727667,0.6535549065067083,0.20565985286605837,0.8592147593727667,0.6837662264277117,0.17544853294505502,1.0,0.2260330674224064,0.7739669325775936,1.0,1.0,0.0,0.78145
