Seed_num,epsilon,SP_maj,SP_min,SPD,EO_maj,EO_min,EOD,PE_maj,PE_min,PED,TE_maj,TE_min,TED,OA_maj,OA_min,OAD,PRP_maj,PRP_min,PRPD,CSP_B0_maj,CSP_B0_min,CSD_B0,CSP_B1_maj,CSP_B1_min,CSD_B1,Acc
0,16,0.10572564809848103,0.0,0.10572564809848103,0.21342031686859272,0.0,0.21342031686859272,0.04604777148485595,0.0,0.04604777148485595,8.558974687018644,inf,-inf,0.695000082901658,0.909213047236048,-0.21421296433438997,0.6976258152539211,0.0,0.6976258152539211,0.0,0.0,0.0,0.0,0.0,0.0,0.77599
1,16,0.10573708868804692,0.0,0.10573708868804692,0.21601489757914338,0.0,0.21601489757914338,0.04489695780176644,0.0,0.04489695780176644,8.576906939299992,inf,-inf,0.6949823091736056,0.9092055190370851,-0.21422320986347954,0.6972634557212901,0.0,0.6972634557212901,0.0,0.0,0.0,0.0,0.0,0.0,0.77599
2,16,0.10573216996256918,0.0,0.10573216996256918,0.1935784085621219,0.0,0.1935784085621219,0.05251533742331288,0.0,0.05251533742331288,8.576443213922653,inf,-inf,0.6950076261431486,0.9092162199628143,-0.21420859381966573,0.6974326520707146,0.0,0.6974326520707146,0.0,0.0,0.0,0.0,0.0,0.0,0.77599
3,16,0.10571642197935438,0.0,0.10571642197935438,0.2076271186440678,0.0,0.2076271186440678,0.047280744732974035,0.0,0.047280744732974035,8.556975198332974,inf,-inf,0.6949924189117638,0.9092149760303421,-0.2142225571185783,0.6973299353387785,0.0,0.6973299353387785,0.0,0.0,0.0,0.0,0.0,0.0,0.77599
4,16,0.10575174486393597,0.0,0.10575174486393597,0.19816091954022988,0.0,0.19816091954022988,0.047190464607151546,0.0,0.047190464607151546,8.598854530013073,inf,-inf,0.6950151693592843,0.9092406856641008,-0.21422551630481645,0.6977742979422233,0.0,0.6977742979422233,0.0,0.0,0.0,0.0,0.0,0.0,0.77599
5,16,0.10573143957571582,0.0,0.10573143957571582,0.2153846153846154,0.0,0.2153846153846154,0.04793187347931874,0.0,0.04793187347931874,8.57518065988884,inf,-inf,0.6949859396282053,0.9091734014823587,-0.21418746185415338,0.697683472918325,0.0,0.697683472918325,0.0,0.0,0.0,0.0,0.0,0.0,0.77599
6,16,0.10572076939313999,0.0,0.10572076939313999,0.19775596072931276,0.0,0.19775596072931276,0.04785397138628515,0.0,0.04785397138628515,8.602518365165626,inf,-inf,0.6949849559236367,0.9092010440800099,-0.21421608815637316,0.6979144434465893,0.0,0.6979144434465893,0.0,0.0,0.0,0.0,0.0,0.0,0.77599
7,16,0.10573150117241589,0.0,0.10573150117241589,0.20785219399538107,0.0,0.20785219399538107,0.04702729044834308,0.0,0.04702729044834308,8.581080132046418,inf,-inf,0.6949922635706678,0.909216708534537,-0.21422444496386917,0.6977760017743899,0.0,0.6977760017743899,0.0,0.0,0.0,0.0,0.0,0.0,0.77599
8,16,0.10572590366801468,0.0,0.10572590366801468,0.213986013986014,0.0,0.213986013986014,0.04901243599122165,0.0,0.04901243599122165,8.569799428340378,inf,-inf,0.6949940837038936,0.9092086951263774,-0.21421461142248377,0.6975061901152737,0.0,0.6975061901152737,0.0,0.0,0.0,0.0,0.0,0.0,0.77599
9,16,0.10572470034040968,0.0,0.10572470034040968,0.21950092421441775,0.0,0.21950092421441775,0.04780680137999014,0.0,0.04780680137999014,8.595051302442549,inf,-inf,0.6949877475778374,0.9091886468816931,-0.21420089930385566,0.6976599041772713,0.0,0.6976599041772713,0.0,0.0,0.0,0.0,0.0,0.0,0.77599
10,16,0.10571784687426736,0.0,0.10571784687426736,0.2229949003245248,0.0,0.2229949003245248,0.04739799657952602,0.0,0.04739799657952602,8.584605577128505,inf,-inf,0.6949927348617377,0.9092165865475733,-0.21422385168583558,0.6975989859596591,0.0,0.6975989859596591,0.0,0.0,0.0,0.0,0.0,0.0,0.77599
11,16,0.10572557667385007,0.0,0.10572557667385007,0.20670391061452514,0.0,0.20670391061452514,0.04808877928483354,0.0,0.04808877928483354,8.575203566602877,inf,-inf,0.6949813835761008,0.9092092457682732,-0.21422786219217238,0.6977726672079811,0.0,0.6977726672079811,0.0,0.0,0.0,0.0,0.0,0.0,0.77599
12,16,0.10572980215856556,0.0,0.10572980215856556,0.21650440426518314,0.0,0.21650440426518314,0.05493412875963211,0.0,0.05493412875963211,8.567508571638472,inf,-inf,0.6949901609811799,0.9092171368128937,-0.2142269758317138,0.6977427092266237,0.0,0.6977427092266237,0.0,0.0,0.0,0.0,0.0,0.0,0.77599
13,16,0.10572291193927719,0.0,0.10572291193927719,0.22128851540616246,0.0,0.22128851540616246,0.048137397194000967,0.0,0.048137397194000967,8.572751785979724,inf,-inf,0.694984957647231,0.9092082727239077,-0.2142233150766767,0.6976455490344627,0.0,0.6976455490344627,0.0,0.0,0.0,0.0,0.0,0.0,0.77599
